week_start_date,"(-2, -2, -2)","(-2, -2, -1)","(-2, -2, 0)","(-2, -2, 1)","(-2, -2, 2)","(-2, -1, -2)","(-2, -1, -1)","(-2, -1, 0)","(-2, -1, 1)","(-2, -1, 2)","(-2, 0, -2)","(-2, 0, -1)","(-2, 0, 0)","(-2, 0, 1)","(-2, 0, 2)","(-2, 1, -2)","(-2, 1, -1)","(-2, 1, 0)","(-2, 1, 1)","(-2, 1, 2)","(-2, 2, -2)","(-2, 2, -1)","(-2, 2, 0)","(-2, 2, 1)","(-2, 2, 2)","(-1, -2, -2)","(-1, -2, -1)","(-1, -2, 0)","(-1, -2, 1)","(-1, -2, 2)","(-1, -1, -2)","(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, -1, 2)","(-1, 0, -2)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 0, 2)","(-1, 1, -2)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(-1, 1, 2)","(-1, 2, -2)","(-1, 2, -1)","(-1, 2, 0)","(-1, 2, 1)","(-1, 2, 2)","(0, -2, -2)","(0, -2, -1)","(0, -2, 0)","(0, -2, 1)","(0, -2, 2)","(0, -1, -2)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, -1, 2)","(0, 0, -2)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, -2)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, -2)","(0, 2, -1)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, -2, -2)","(1, -2, -1)","(1, -2, 0)","(1, -2, 1)","(1, -2, 2)","(1, -1, -2)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, -1, 2)","(1, 0, -2)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, -2)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, -2)","(1, 2, -1)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, -2, -2)","(2, -2, -1)","(2, -2, 0)","(2, -2, 1)","(2, -2, 2)","(2, -1, -2)","(2, -1, -1)","(2, -1, 0)","(2, -1, 1)","(2, -1, 2)","(2, 0, -2)","(2, 0, -1)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, -2)","(2, 1, -1)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, -2)","(2, 2, -1)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
2008-04-29,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.865447,9.865447,8.949323,8.932237,8.932237,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655,9.592477,9.592477,8.676352,8.6592655,8.6592655
2008-05-06,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,9.2321,9.2321,8.28958,7.7043447,7.7043447,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755,8.95913,8.95913,8.01661,7.4313755,7.4313755
2008-05-13,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.582231,8.582231,7.8579564,7.835231,7.835231,8.582231,8.582231,7.8579564,7.835231,7.835231,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.582231,8.582231,7.8579564,7.835231,7.835231,8.582231,8.582231,7.8579564,7.835231,7.835231,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.582231,8.582231,7.8579564,7.835231,7.835231,8.582231,8.582231,7.8579564,7.835231,7.835231,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.582231,8.582231,7.8579564,7.835231,7.835231,8.582231,8.582231,7.8579564,7.835231,7.835231,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.485623,8.485623,7.7613506,7.738624,7.738624,8.582231,8.582231,7.8579564,7.835231,7.835231,8.582231,8.582231,7.8579564,7.835231,7.835231
2008-05-20,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.555754,9.555754,8.622545,8.578055,8.578055,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086,9.282784,9.282784,8.34957,8.305086,8.305086
2008-05-27,9.607785,9.607785,7.0115113,17.454853,17.454853,9.607785,9.607785,7.0115113,17.454853,17.454853,9.607785,9.607785,7.0115113,17.454853,17.454853,9.607785,9.607785,7.0115113,17.454853,17.454853,9.607785,9.607785,7.0115113,17.454853,17.454853,9.334816,9.334816,6.73854,17.18188,17.18188,9.334816,9.334816,6.73854,17.18188,17.18188,9.334816,9.334816,6.73854,17.18188,17.18188,9.334816,9.334816,6.73854,17.18188,17.18188,9.334816,9.334816,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188,9.679239,9.679239,6.73854,17.18188,17.18188
2008-06-03,9.800733,9.800733,9.456162,25.75234,25.75234,9.800733,9.800733,9.456162,25.75234,25.75234,9.800733,9.800733,9.456162,25.75234,25.75234,9.800733,9.800733,9.456162,25.75234,25.75234,9.800733,9.800733,9.456162,25.75234,25.75234,9.800733,9.800733,9.518182,25.81436,25.81436,9.800733,9.800733,9.518182,25.81436,25.81436,9.800733,9.800733,9.518182,25.81436,25.81436,9.800733,9.800733,9.518182,25.81436,25.81436,9.800733,9.800733,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,25.81436,25.81436,11.23459,11.23459,9.518182,14.603967,14.603967,11.23459,11.23459,9.518182,14.603967,14.603967,11.23459,11.23459,9.518182,14.603967,14.603967,11.23459,11.23459,9.518182,14.603967,14.603967,11.23459,11.23459,9.518182,14.603967,14.603967
2008-06-10,8.677071,8.677071,7.5020933,25.810465,25.810465,8.677071,8.677071,7.5020933,25.810465,25.810465,8.677071,8.677071,7.5020933,25.810465,25.810465,8.677071,8.677071,7.5020933,25.810465,25.810465,8.677071,8.677071,7.5020933,25.810465,25.810465,9.021494,9.021494,7.5020933,25.810465,25.810465,9.021494,9.021494,7.5020933,25.810465,25.810465,9.021494,9.021494,7.5020933,25.810465,25.810465,9.021494,9.021494,7.5020933,25.810465,25.810465,9.021494,9.021494,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,25.810465,25.810465,10.110928,10.110928,7.5020933,23.874956,23.874956,10.110928,10.110928,7.5020933,23.874956,23.874956,10.110928,10.110928,7.5020933,23.874956,23.874956,10.110928,10.110928,7.5020933,23.874956,23.874956,10.110928,10.110928,7.5020933,23.874956,23.874956
2008-06-17,10.315416,10.315416,18.921738,25.459034,25.459034,10.315416,10.315416,18.921738,25.459034,25.459034,10.315416,10.315416,18.921738,25.459034,25.459034,10.315416,10.315416,18.921738,25.459034,25.459034,10.315416,10.315416,18.921738,25.459034,25.459034,10.315416,10.315416,18.983757,25.521053,25.521053,10.315416,10.315416,18.983757,25.521053,25.521053,10.315416,10.315416,18.983757,25.521053,25.521053,10.315416,10.315416,18.983757,25.521053,25.521053,10.315416,10.315416,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,25.521053,25.521053,10.65984,10.65984,18.983757,23.585545,23.585545,10.65984,10.65984,18.983757,23.585545,23.585545,10.65984,10.65984,18.983757,23.585545,23.585545,10.65984,10.65984,18.983757,23.585545,23.585545,10.65984,10.65984,18.983757,23.585545,23.585545,10.65984,10.65984,18.983757,23.202696,23.202696,10.65984,10.65984,18.983757,23.202696,23.202696,10.65984,10.65984,18.983757,23.202696,23.202696,10.65984,10.65984,18.983757,23.202696,23.202696,10.65984,10.65984,18.983757,23.202696,23.202696
2008-06-24,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,9.141088,9.141088,10.624797,24.923859,24.923859,10.5749445,10.5749445,9.823005,24.122066,24.122066,10.5749445,10.5749445,9.823005,24.122066,24.122066,10.5749445,10.5749445,9.823005,24.122066,24.122066,10.5749445,10.5749445,9.823005,24.122066,24.122066,10.5749445,10.5749445,9.823005,24.122066,24.122066,10.5749445,10.5749445,9.440155,22.605505,22.605505,10.5749445,10.5749445,9.440155,22.605505,22.605505,10.5749445,10.5749445,9.440155,22.605505,22.605505,10.5749445,10.5749445,9.440155,22.605505,22.605505,10.5749445,10.5749445,9.440155,22.605505,22.605505,7.8186274,7.8186274,7.6833143,9.52555,9.52555,7.8186274,7.8186274,7.6833143,9.52555,9.52555,7.8186274,7.8186274,7.6833143,9.52555,9.52555,7.8186274,7.8186274,7.6833143,9.52555,9.52555,7.8186274,7.8186274,7.6833143,9.52555,9.52555
2008-07-01,8.321684,8.321684,6.97757,24.093166,24.093166,8.321684,8.321684,6.97757,24.093166,24.093166,8.321684,8.321684,6.97757,24.093166,24.093166,8.321684,8.321684,6.97757,24.093166,24.093166,8.321684,8.321684,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,24.093166,24.093166,9.755541,9.755541,6.97757,22.157658,22.157658,9.755541,9.755541,6.97757,22.157658,22.157658,9.755541,9.755541,6.97757,22.157658,22.157658,9.755541,9.755541,6.97757,22.157658,22.157658,9.755541,9.755541,6.97757,22.157658,22.157658,9.755541,9.755541,6.97757,21.774813,21.774813,9.755541,9.755541,6.97757,21.774813,21.774813,9.755541,9.755541,6.97757,21.774813,21.774813,9.755541,9.755541,6.97757,21.774813,21.774813,9.755541,9.755541,6.97757,21.774813,21.774813,17.14496,17.14496,14.744113,18.00079,18.00079,17.14496,17.14496,14.744113,18.00079,18.00079,17.14496,17.14496,14.744113,18.00079,18.00079,17.14496,17.14496,14.744113,18.00079,18.00079,17.14496,17.14496,14.744113,18.00079,18.00079
